fid;kdprov;kdkab;kdkec;kddesa;nmdesa;nmkec;nmkab;nmprov;iddesa;idkec;sbs;base;idbs;kdbs;luas;kdsls;nmsls;posisi;dom_sls;dominan;tingkat;nm_gedung;kk;bstt;bstt_k;bsbtt;muatan;khusus;count
77;"32";"15";"060";"006";TIRTASARI;TIRTAMULYA;KARAWANG;JAWA BARAT;"3215060006";"3215060";"0  ";sp2020;3215060006013B;"013B";98968.2570790796;"0003";RT 003 RW 002 DUSUN KIARALAWANG;"-";"11";"11";;;;;;;;;1
78;"32";"15";"060";"007";PARAKAN;TIRTAMULYA;KARAWANG;JAWA BARAT;"3215060007";"3215060";"0  ";sp2020;3215060007010B;"010B";393458.136036315;"0011";RT 002 RW 005 DUSUN III;"-";"1, 1, 1";"1";;;;;;;;;1
79;"32";"15";"060";"007";PARAKAN;TIRTAMULYA;KARAWANG;JAWA BARAT;"3215060007";"3215060";"0  ";sp2020;3215060007009B;"009B";808354.866586042;"0010";RT 001 RW 005 DUSUN III;"-";"1, 1, 1, 1";"1";;;;;;;;;1
80;"32";"15";"060";"007";PARAKAN;TIRTAMULYA;KARAWANG;JAWA BARAT;"3215060007";"3215060";"0  ";sp2020;3215060007011B;"011B";286837.290670047;"0003";RT 001 RW 002 DUSUN I;"-";"1, 1, 1, 1, 1";"1";;;;;;;;;1
81;"32";"15";"070";"005";SITUDAM;JATISARI;KARAWANG;JAWA BARAT;"3215070005";"3215070";"0  ";sp2020;3215070005014B;"014B";172485.338516624;"0011";RT 011 RW 005 DUSUN KALEMSINEM;"-";"1, 1";"1";;;;;;;;;1
82;"32";"15";"070";"005";SITUDAM;JATISARI;KARAWANG;JAWA BARAT;"3215070005";"3215070";"0  ";sp2020;3215070005015B;"015B";86083.1321840435;"0012";RT 012 RW 005 DUSUN KALENSINEM;"-";"1, 1";"1";;;;;;;;;1
83;"32";"15";"070";"019";PACING;JATISARI;KARAWANG;JAWA BARAT;"3215070019";"3215070";"0  ";sp2020;3215070019012P;"012P";2951412.940644;"1001";SAWAH;"-";"11";"11";;;;;;;;;1
84;"32";"15";"070";"019";PACING;JATISARI;KARAWANG;JAWA BARAT;"3215070019";"3215070";"0  ";sp2020;3215070019010B;"010B";93798.8571796244;"0012";RT 001 RW 005 DUSUN KARAJAN;"-";"1, 1, 1, 1, 1";"1";;;;;;;;;1
85;"32";"15";"071";"004";JAYAMUKTI;BANYUSARI;KARAWANG;JAWA BARAT;"3215071004";"3215071";"0  ";sp2020;3215071004022P;"022P";1078675.45380947;"1001";PESAWAHAN BLOK JUNGKLANG;"-";"11";"11";;;;;;;;;1
86;"32";"15";"071";"004";JAYAMUKTI;BANYUSARI;KARAWANG;JAWA BARAT;"3215071004";"3215071";"0  ";sp2020;3215071004021B;"021B";48090.0683629045;"0017";RT 002 RW 006 DUSUN SUKAMULYA;"-";"1, 1, 1, 1, 1";"1";;;;;;;;;1
87;"32";"15";"072";"003";JOMIN TIMUR;KOTABARU;KARAWANG;JAWA BARAT;"3215072003";"3215072";"0  ";sp2020;3215072003006B;"006B";55770.2048877735;"0010";RT 010 RW 002 DUSUN KARAJAN;"-";"1, 1, 1";"1";;;;;;;;;1
88;"32";"15";"072";"004";PANGULAH SELATAN;KOTABARU;KARAWANG;JAWA BARAT;"3215072004";"3215072";"0  ";sp2020;3215072004037B;"037B";44237.5778846447;"0039";RT 001 RW 011 DUSUN DARINGO;"-";"1, 1, 1, 1, 1, 1, 1";"1";;;;;;;;;1
89;"32";"15";"072";"004";PANGULAH SELATAN;KOTABARU;KARAWANG;JAWA BARAT;"3215072004";"3215072";"0  ";sp2020;3215072004036B;"036B";2383607.16890757;"1002";"SAWAH ""PUNDONG""";"-";"1";"1";;;;;;;;;1
90;"32";"15";"072";"007";WANCIMEKAR;KOTABARU;KARAWANG;JAWA BARAT;"3215072007";"3215072";"0  ";sp2020;3215072007034B;"034B";5833.14434568002;"0035";RT 004 RW 005 DUSUN CARIU;"-";"1, 1, 1";"1";;;;;;;;;1
91;"32";"15";"081";"004";TEGALWARU;CILAMAYA WETAN;KARAWANG;JAWA BARAT;"3215081004";"3215081";"0  ";sp2020;3215081004016B;"016B";80550.950326526;"0005";RT 005 RW 003 DUSUN ONDANG 1;"-";"1, 1";"1";;;;;;;;;1
92;"32";"15";"081";"004";TEGALWARU;CILAMAYA WETAN;KARAWANG;JAWA BARAT;"3215081004";"3215081";"0  ";sp2020;3215081004014B;"014B";19337.8936404623;"0010";RT 010 RW 005 DUSUN ONDANG 1;"-";"1, 1, 1, 1";"1";;;;;;;;;1
93;"32";"15";"090";"002";WARINGINKARYA;LEMAHABANG;KARAWANG;JAWA BARAT;"3215090002";"3215090";"0  ";sp2020;3215090002004P;"004P";434561.09855571;"0007";RT 007 RW 003 DUSUN TELAR;"-";"11";"11";;;;;;;;;1
94;"32";"15";"090";"002";WARINGINKARYA;LEMAHABANG;KARAWANG;JAWA BARAT;"3215090002";"3215090";"0  ";sp2020;3215090002002B;"002B";551696.787864326;"0006";RT 006 RW 002 DUSUN PALAWAD 2;"-";"1, 1";"1";;;;;;;;;1
95;"32";"15";"090";"004";KARANGTANJUNG;LEMAHABANG;KARAWANG;JAWA BARAT;"3215090004";"3215090";"0  ";sp2020;3215090004003P;"003P";185174.242727075;"0012";RT 012 RW 005 DUSUN RAWA DUKUH;"-";"11";"11";;;;;;;;;1
96;"32";"15";"090";"004";KARANGTANJUNG;LEMAHABANG;KARAWANG;JAWA BARAT;"3215090004";"3215090";"0  ";sp2020;3215090004007P;"007P";213483.455013196;"0006";RT 006 RW 002 DUSUN TANJUNG;"-";"11";"11";;;;;;;;;1
